geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54562128115268,-46.63929204800168,sao paulo,SP
1012,-23.547762303364262,-46.63536053788448,são paulo,SP
1307,-23.556811599774967,-46.65713483250617,sao bernardo do campo,SP
3203,-23.216648333054422,-46.86137071772756,jundiaí,SP
4004,-23.57479781181837,-46.65010622133425,taboão da serra,SP
4132,-23.622720684430718,-46.62035998404405,sãopaulo,SP
4346,-23.64036523446758,-46.65212213182845,sp,SP
4728,-23.639872442408677,-46.71357089884005,sa£o paulo,SP
5372,-23.18813520122337,-45.88770488412487,sao jose dos campos,SP
6036,-23.559508137402258,-46.77587275540442,osasco,SP
6382,-23.54811119219724,-46.841166759880586,carapicuíba,SP
6342,-23.58361358776967,-46.82348459106787,carapicuiba,SP
6455,-23.50247657869377,-46.85563438418507,barueri,SP
6532,-23.439234768988943,-46.89947341821175,santana de parnaiba,SP
6550,-23.4147842109558,-46.9744489453111,pirapora do bom jesus,SP
6541,-23.463713095897067,-46.87010195618704,santana de parnaíba,SP
6626,-23.54573019633161,-46.91596156272515,jandira,SP
6656,-23.55266738040897,-46.9176766002288,itapevi,SP
6716,-23.60522961818243,-46.90761789965579,cotia,SP
6756,-23.606386840958358,-46.76874080680691,taboao da serra,SP
6730,-23.659233203083232,-46.99692810611056,vargem grande paulista,SP
6814,-23.6572766081135,-46.80590562447345,embu das artes,SP
6865,-23.74304513879952,-46.79107615445491,itapecerica da serra,SP
6843,-23.658831533729536,-46.861262119077765,embu,SP
6890,-23.854365356661845,-46.95453617477526,são lourenço da serra,SP
6890,-23.8938453024987,-46.984726736713256,sao lourenco da serra,SP
6900,-23.82852167738724,-46.814795982633896,embu-guacu,SP
6900,-23.82791924994743,-46.81405456170517,embu-guaçu,SP
6900,-23.839597028487333,-46.819291198635824,embu guaçu,SP
6950,-23.931406546387684,-47.07199584429756,juquitiba,SP
6900,-23.84805389201364,-46.8152545727207,embu guacu,SP
6900,-23.814830451411773,-46.78592155611573,embuguacu,SP
7041,-23.48392863558197,-46.54665783166945,guarulhos,SP
7097,-23.444346436580304,-46.53902959325411,adamantina,SP
7174,-23.423992051070453,-46.4234635582838,guarulhos-sp,SP
7400,-23.39888374540156,-46.32526700508771,aruja,SP
7401,-23.39440141271852,-46.32843946280801,arujá,SP
7500,-23.313367272379296,-46.23184349266853,santa isabel,SP
7600,-23.323581622627877,-46.571516434161296,mairipora,SP
7600,-23.321862925803117,-46.58817474672198,mairiporã,SP
7776,-23.343487811300083,-46.840175855948345,cajamar,SP
7704,-23.3774620733186,-46.753456523931526,caieiras,SP
7776,-23.336505,-46.84039649999998,jordanesia,SP
7770,-23.41064346196938,-46.86452427335181,polvilho,SP
7705,-23.65961406193379,-46.47578470116613,mauá,SP
7786,-23.33753793454656,-46.829388120863456,jordanésia,SP
7807,-23.317321140748085,-46.73209089597715,franco da rocha,SP
7908,-23.291174865787717,-46.748229129847736,francisco morato,SP
8558,-23.50802607799065,-46.33563054717532,poa,SP
8577,-23.48262344063541,-46.37448952833195,itaquaquecetuba,SP
8530,-23.535776999999943,-46.37282749999997,ferraz de vasconcelos,SP
8551,-23.520016414103495,-46.34393029087078,poá,SP
8663,-23.569201792697744,-46.33696493780933,suzano,SP
8717,-23.535324166918866,-46.1906669977593,mogi das cruzes,SP
8730,-23.529723669601918,-46.20450115266708,mogidascruzes,SP
8970,-23.53017186184537,-45.85395965939973,salesopolis,SP
8940,-23.570081931637716,-46.043320961112215,biritiba-mirim,SP
8900,-23.41300937046358,-46.02387528699344,guararema,SP
8970,-23.535684939016875,-45.85171270652857,salesópolis,SP
8940,-23.57366095150569,-46.03797843980114,biritiba mirim,SP
9070,-23.653211574239744,-46.55446338438468,santo andre,SP
9061,-23.651678503750905,-46.55365613794789,santo andré,SP
9350,-23.68011442853022,-46.4524537436668,maua,SP
9400,-23.712947685815696,-46.40855396350052,ribeirão pires,SP
9435,-23.65505507531975,-46.36192942133493,ribeirao pires,SP
9450,-23.7376101268394,-46.39370760421835,rio grande da serra,SP
9581,-23.63659649486411,-46.5773379045242,sao caetano do sul,SP
9560,-23.62995075035213,-46.55251994719388,são caetano do sul,SP
9690,-23.67170527422236,-46.58997464458433,são bernardo do campo,SP
9780,-23.720288459057095,-46.53603415903972,sbcampo,SP
9920,-23.68008452677597,-46.62410537301638,diadema,SP
11085,-23.93360892117263,-46.34716271579432,santos,SP
11250,-23.82834010075353,-46.1430173832652,bertioga,SP
11200,-8.275688986679697,-35.96561521924186,caruara,SP
11360,-23.94088407026239,-46.39535499629063,sao vicente,SP
