customer_city,transaction_amount,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
sao paulo,15045,1037.0,-23.54562128115268,-46.63929204800168,sao paulo,SP
rio de janeiro,6601,20010.0,-22.90247241249798,-43.17405884636481,rio de janeiro,RJ
belo horizonte,2697,30001.0,-19.92398883986376,-43.93570612505038,belo horizonte,MG
brasilia,2071,70057.0,-15.790438613105168,-47.88065505785112,brasilia,DF
curitiba,1489,80010.0,-25.43548786011886,-49.270213781291496,curitiba,PR
campinas,1406,13023.0,-22.898536428530225,-47.063125168330544,campinas,SP
porto alegre,1342,90010.0,-30.03215040714993,-51.2325516998384,porto alegre,RS
salvador,1188,40080.0,-12.987171949272744,-38.5226816405163,salvador,BA
guarulhos,1144,7041.0,-23.48392863558197,-46.54665783166945,guarulhos,SP
sao bernardo do campo,911,1307.0,-23.556811599774967,-46.65713483250617,sao bernardo do campo,SP
niteroi,825,24020.0,-22.89428279372572,-43.12073703239408,niteroi,RJ
santo andre,778,9070.0,-23.653211574239744,-46.55446338438468,santo andre,SP
osasco,724,6036.0,-23.559508137402258,-46.77587275540442,osasco,SP
santos,700,11085.0,-23.93360892117263,-46.34716271579432,santos,SP
sao jose dos campos,667,5372.0,-23.18813520122337,-45.88770488412487,sao jose dos campos,SP
goiania,660,74075.0,-16.67316640999716,-49.266972048074194,goiania,GO
fortaleza,618,60010.0,-3.7252399453228704,-38.54577540813088,fortaleza,CE
sorocaba,609,18044.0,-23.50986470167544,-47.484121269794414,sorocaba,SP
recife,593,50060.0,-8.061694679439059,-34.88239283971952,recife,PE
florianopolis,556,88034.0,-27.57865911904912,-48.50709600207745,florianopolis,SC
jundiai,549,13210.0,-23.21955226311385,-46.88331318927813,jundiai,SP
ribeirao preto,499,14025.0,-21.18665775437128,-47.80976500582838,ribeirao preto,SP
belem,431,57630.0,-9.569374354216542,-36.49297105084643,belem,AL
juiz de fora,423,36010.0,-21.76282506633389,-43.34295644532287,juiz de fora,MG
nova iguacu,423,26085.0,-22.72037161940292,-43.53075551192455,nova iguacu,RJ
barueri,419,6455.0,-23.50247657869377,-46.85563438418507,barueri,SP
contagem,415,32041.0,-19.914063847840072,-44.07076715589755,contagem,MG
sao goncalo,385,24421.0,-22.83198637979998,-43.04193397033456,sao goncalo,RJ
vitoria,374,29031.0,-20.28157026920847,-40.33017427968581,vitoria,ES
mogi das cruzes,374,8717.0,-23.535324166918866,-46.1906669977593,mogi das cruzes,SP
uberlandia,367,38400.0,-18.91595976602804,-48.278974174995646,uberlandia,MG
piracicaba,356,13416.0,-22.715110444918835,-47.645625352213,piracicaba,SP
sao luis,335,65020.0,-2.5244272445702083,-44.29047948342056,sao luis,MA
sao jose do rio preto,329,15041.0,-20.796222017784032,-49.42402036205527,sao jose do rio preto,SP
vila velha,326,29128.0,-20.50800917100857,-40.37334877994167,vila velha,ES
maua,317,9350.0,-23.68011442853022,-46.4524537436668,maua,SP
carapicuiba,316,6342.0,-23.58361358776967,-46.82348459106787,carapicuiba,SP
campo grande,312,23073.0,-22.88500788310081,-43.61612998754906,campo grande,RJ
praia grande,301,11700.0,-24.016283558765817,-46.39843570349071,praia grande,SP
londrina,298,86020.0,-23.30663451154119,-51.16454999999999,londrina,PR
taboao da serra,284,6756.0,-23.606386840958358,-46.76874080680691,taboao da serra,SP
serra,278,29167.0,-20.1808755,-40.26153600000001,serra,ES
diadema,276,9920.0,-23.68008452677597,-46.62410537301638,diadema,SP
indaiatuba,274,13347.0,-23.141554810215275,-47.23811647179686,indaiatuba,SP
sao caetano do sul,272,9581.0,-23.63659649486411,-46.5773379045242,sao caetano do sul,SP
teresina,271,64049.0,-5.0709464999999945,-42.78848175,teresina,PI
bauru,263,17030.0,-22.32799872661436,-49.04464129765144,bauru,SP
taubate,260,12010.0,-23.028580095435387,-45.55788415147515,taubate,SP
maringa,260,87013.0,-23.41986366306706,-51.9370505253616,maringa,PR
joinville,257,89219.0,-26.25413501236067,-48.87133423020441,joinville,SC
duque de caxias,250,25085.0,-22.79862506251644,-43.29358593827242,duque de caxias,RJ
joao pessoa,245,58035.0,-7.062454676928897,-34.84178048112988,joao pessoa,PB
cuiaba,243,78008.0,-15.596966688946162,-56.08428572374972,cuiaba,MT
cotia,242,6716.0,-23.60522961818243,-46.90761789965579,cotia,SP
maceio,236,57060.0,-9.590206631138562,-35.76699664847947,maceio,AL
sao carlos,236,13563.0,-22.001643392946637,-47.924424205357845,sao carlos,SP
petropolis,234,25635.0,-22.53135181277938,-43.17259695662331,petropolis,RJ
campos dos goytacazes,232,28085.0,-21.720139625582693,-41.31045343206544,campos dos goytacazes,RJ
suzano,230,8663.0,-23.569201792697744,-46.33696493780933,suzano,SP
macae,228,27943.0,-22.382808888709125,-41.78057730313937,macae,RJ
volta redonda,227,27265.0,-22.52985026533555,-44.1241147559005,volta redonda,RJ
caxias do sul,220,95095.0,-29.19829438602458,-51.20720195133252,caxias do sul,RS
guaruja,217,11495.0,-23.96227508731793,-46.250477767629874,guaruja,SP
americana,216,13468.0,-22.75357308071264,-47.3394119839509,americana,SP
aracaju,213,49010.0,-10.910514518754546,-37.05240077699233,aracaju,SE
montes claros,207,39404.0,-16.682043505353082,-43.8286815604386,montes claros,MG
canoas,205,92020.0,-29.91005335319802,-51.169226719006566,canoas,RS
natal,203,53012.0,-5.783670910641051,-35.19694680085409,natal,RN
betim,196,32553.0,-19.96971402637195,-44.17558669386577,betim,MG
santa maria,196,28155.0,-34.586422110664884,-58.732100610901725,santa maria,RJ
marilia,194,17511.0,-22.181007751312865,-49.963543554532905,marilia,SP
jacarei,189,12331.0,-23.265979879755115,-46.06705735267744,jacarei,SP
uberaba,186,38025.0,-19.751249095475785,-47.93019340368748,uberaba,MG
limeira,186,13482.0,-22.57487785152052,-47.416177053147926,limeira,SP
pelotas,183,96010.0,-31.77452642353856,-52.33668313682272,pelotas,RS
feira de santana,181,44009.0,-12.252350999999944,-38.98326499999996,feira de santana,BA
valinhos,181,13276.0,-22.983092033963143,-46.99579127087601,valinhos,SP
blumenau,181,89026.0,-26.971132453228723,-49.07623407230649,blumenau,SC
santana de parnaiba,178,6532.0,-23.439234768988943,-46.89947341821175,santana de parnaiba,SP
sumare,178,13178.0,-22.800362898695823,-47.21833340077328,sumare,SP
itapevi,170,6656.0,-23.55266738040897,-46.9176766002288,itapevi,SP
ipatinga,169,35164.0,-19.4609515387212,-42.525487901061766,ipatinga,MG
itaquaquecetuba,168,8577.0,-23.48262344063541,-46.37448952833195,itaquaquecetuba,SP
sao jose,167,79712.0,-22.493329751103225,-54.46305520752318,sao jose,MS
sao vicente,159,11360.0,-23.94088407026239,-46.39535499629063,sao vicente,SP
presidente prudente,157,19025.0,-22.09785593377639,-51.40156940368525,presidente prudente,SP
embu das artes,157,6814.0,-23.6572766081135,-46.80590562447345,embu das artes,SP
rio claro,154,13500.0,-22.402133192076768,-47.56233402025511,rio claro,SP
atibaia,154,12940.0,-23.112774381969185,-46.5488845105504,atibaia,SP
franca,154,14400.0,-20.53193450696372,-47.399446711253766,franca,SP
cascavel,151,62850.0,-4.123006726243445,-38.24515186603778,cascavel,CE
araraquara,150,14810.0,-21.778926590339896,-48.15890478322473,araraquara,SP
braganca paulista,144,12903.0,-22.94787403161499,-46.55188741483248,braganca paulista,SP
nova friburgo,142,28610.0,-22.278743054653297,-42.52864048238232,nova friburgo,RJ
hortolandia,142,13184.0,-22.862988204938603,-47.21824617249952,hortolandia,SP
ponta grossa,141,84063.0,-25.064879123255093,-50.207193362454426,ponta grossa,PR
aracatuba,138,16072.0,-21.204108401787465,-50.45286394468003,aracatuba,SP
manaus,137,69060.0,-3.098469226166762,-59.99978394674866,manaus,AM
cariacica,135,29146.0,-20.33870191640221,-40.39126478706738,cariacica,ES
governador valadares,134,35051.0,-18.873519360519715,-41.96920602047174,governador valadares,MG
marica,133,24904.0,-22.908570683778134,-42.79469441590441,marica,RJ
divinopolis,132,35500.0,-20.146615317146374,-44.892591683425806,divinopolis,MG
jaboatao dos guararapes,131,54070.0,-8.108559006655804,-35.023336681149225,jaboatao dos guararapes,PE
rio das ostras,130,28895.0,-22.50268855112206,-41.92488236917089,rio das ostras,RJ
sao jose dos pinhais,130,83075.0,-25.52257554902293,-49.09714820041269,sao jose dos pinhais,PR
itu,129,13309.0,-23.28024027283236,-47.28408336583513,itu,SP
pouso alegre,128,37557.0,-22.25971401199353,-45.92231506881679,pouso alegre,MG
paulinia,127,13148.0,-22.786644726384047,-47.10608854644455,paulinia,SP
sete lagoas,126,35700.0,-19.46361254830593,-44.24441403023008,sete lagoas,MG
sao joao de meriti,124,25525.0,-22.795917718148136,-43.378424462057446,sao joao de meriti,RJ
rio grande,121,96211.0,-32.04232063459594,-52.12953397213267,rio grande,RS
novo hamburgo,121,93336.0,-29.6948240514127,-51.13882357830916,novo hamburgo,RS
cachoeiro de itapemirim,121,29313.0,-20.825998802613157,-41.13645175016037,cachoeiro de itapemirim,ES
itajai,119,88310.0,-26.89105185843889,-48.70160775209466,itajai,SC
teresopolis,119,25953.0,-22.41089955323377,-42.96754519462695,teresopolis,RJ
barra mansa,119,27323.0,-22.537845000000004,-44.17191674999998,barra mansa,RJ
santa barbara d'oeste,118,13453.0,-22.73579256527013,-47.41089508396748,santa barbara d'oeste,SP
pocos de caldas,116,37701.0,-21.79104335195045,-46.56244368105504,pocos de caldas,MG
resende,115,27541.0,-22.46347883873857,-44.43792725991119,resende,RJ
cabo frio,113,28908.0,-22.918600080765664,-42.03848119319952,cabo frio,RJ
passo fundo,112,99010.0,-28.246010663976687,-52.38356841481704,passo fundo,RS
anapolis,111,75085.0,-16.285449164026584,-48.92939136561062,anapolis,GO
gravatai,111,94065.0,-29.94641399464261,-51.052913746428416,gravatai,RS
ferraz de vasconcelos,109,8530.0,-23.535776999999943,-46.37282749999997,ferraz de vasconcelos,SP
franco da rocha,108,7807.0,-23.317321140748085,-46.73209089597715,franco da rocha,SP
porto velho,108,76804.0,-8.758144193086961,-63.8879729934964,porto velho,RO
ribeirao pires,107,9435.0,-23.65505507531975,-46.36192942133493,ribeirao pires,SP
palmas,107,77064.0,-10.342336049170616,-48.29559614027752,palmas,TO
mage,106,25921.0,-22.636474608381608,-43.07125782082338,mage,RJ
aparecida de goiania,105,74930.0,-16.77015400112626,-49.34004189470734,aparecida de goiania,GO
belford roxo,104,26125.0,-22.728757813992896,-43.40293031275059,belford roxo,RJ
sao leopoldo,103,93025.0,-29.777429782822736,-51.16438266988546,sao leopoldo,RS
nilopolis,103,26520.0,-22.81303760033901,-43.42444789204527,nilopolis,RJ
chapeco,101,89802.0,-27.10203969025658,-52.61515530531225,chapeco,SC
botucatu,100,18602.0,-22.890494208440284,-48.44482949727183,botucatu,SP
patos de minas,99,38702.0,-18.57822401746708,-46.5130299667096,patos de minas,MG
ribeirao das neves,98,33823.0,-19.76568548999484,-44.140885226865976,ribeirao das neves,MG
pindamonhangaba,98,12412.0,-22.95773146505728,-45.45515668718501,pindamonhangaba,SP
itatiba,97,13253.0,-22.993820438600167,-46.81014454759541,itatiba,SP
cajamar,97,7776.0,-23.343487811300083,-46.840175855948345,cajamar,SP
balneario camboriu,97,88338.0,-26.976138317790983,-48.64145671357261,balneario camboriu,SC
caieiras,97,7704.0,-23.3774620733186,-46.753456523931526,caieiras,SP
santa luzia,96,33045.0,-19.754716970157087,-43.88310218117166,santa luzia,MG
nova lima,96,34000.0,-19.991665295170066,-43.92964786837783,nova lima,MG
guaratingueta,96,12520.0,-22.812079392244957,-45.18265771921641,guaratingueta,SP
francisco morato,94,7908.0,-23.291174865787717,-46.748229129847736,francisco morato,SP
araras,93,13601.0,-22.363302142939556,-47.38673630322003,araras,SP
itapecerica da serra,93,6865.0,-23.74304513879952,-46.79107615445491,itapecerica da serra,SP
itajuba,92,37502.0,-22.43106190186255,-45.45559685991584,itajuba,MG
criciuma,91,88802.0,-28.680422038680614,-49.36995209892042,criciuma,SC
